fecha,trimestre,accion,activo_total,pasivo_corriente,activo_corriente,activo_tangible,ingreso_neto,p_vl,resultado_bruto,ebitda,ciclo_operativo,capital_trabajo,gastos_admin,costo_ventas,plazo_proveedor,inventario,pasivo_total,cuentas_xcobrar,cuentas_xpagar,utilidad_neta
1994-04-01,2T1994,Besalco S.A. Ord,16715441,6319583,9959269,4863403,10206521,0,1113675,0,0,3639686,0,9092846,0,4067633,0,4213171,271248,802566
1994-07-01,3T1994,Besalco S.A. Ord,16138189,5309810,9317568,5434564,16548723,0,1922958,0,0,4007758,0,14625765,0,2523232,0,4757861,110940,1137491
1994-10-01,4T1994,Besalco S.A. Ord,17029158,4840944,10048622,5030992,22965163,0,3080746,0,115.81486417,5207678,0,19884417,0,3178972,0,3716577,202077,1757829
1995-01-01,1T1995,Besalco S.A. Ord,18264379,5006604,11006565,5306429,7371738,0,1082367,0,0,5999961,0,6289371,0,3695729,0,4653944,2022,444816
1995-04-01,2T1995,Besalco S.A. Ord,21651454,5519822,12707976,7341824,15213589,1.8237367394,2870667,0,131.39954113,7188154,0,12342922,0,3252780,0,6276848,19087,1166986
1995-07-01,3T1995,Besalco S.A. Ord,23635742,6782887,14413613,7700279,22792136,3.0537263769,3686254,0,117.47584852,7630726,0,19105882,0,3676071,0,5124465,114502,1768657
1995-10-01,4T1995,Besalco S.A. Ord,24695304,6326732,14104183,9840699,32208738,2.6359631092,6020827,0,111.81479927,7777451,0,26187911,0,4505514,0,4462556,24639,3051444
1996-01-01,1T1996,Besalco S.A. Ord,26389604,7099604,15616425,9908976,7535708,3.2690946747,1659350,0,134.12665948,8516821,0,5876358,0,5514827,0,5134729,761356,807760
1996-04-01,2T1996,Besalco S.A. Ord,29300215,9522706,15066943,11024799,17933561,3.9519045188,3206591,0,131.44673406,5544237,0,14726970,0,4750109,0,6946590,971679,1791361
1996-07-01,3T1996,Besalco S.A. Ord,30840117,10445656,16182981,11294469,27013547,3.816790271,5008339,0,139.69668333,5737325,0,22005208,0,3785011,0,9396070,1091278,2827860
1996-10-01,4T1996,Besalco S.A. Ord,35050645,10487962,19486845,13398990,36241280,3.322356052,6447176,0,139.846679,8998883,0,29794104,0,5408544,0,7499492,1497291,4136818
1997-01-01,1T1997,Besalco S.A. Ord,37593166,7909980,19696348,13537272,11837243,2.7583692369,1660369,0,110.47476132,11786368,0,10176874,0,3801131,0,7921524,1094001,1150300
1997-04-01,2T1997,Besalco S.A. Ord,37208988,6289550,18597719,13807672,22645187,2.5550012382,3174279,0,105.11416965,12308169,0,19470908,0,4217614,0,6956620,641417,2442822
1997-07-01,3T1997,Besalco S.A. Ord,52817761,17844397,27010839,14192194,47073901,2.2573811454,6418443,0,100.35136857,9166442,0,40655458,0,8229966,0,6129495,372201,3898676
1997-10-01,4T1997,Besalco S.A. Ord,51028215,14733068,20818388,15129085,66054587,1.6606527353,9497914,8761653,57.679387723,6085320,0,56556673,0,4376104,0,5472290,205871,5607867
1998-01-01,1T1998,Besalco S.A. Ord,47409320,10728634,17181808,14690263,9949333,1.5088400773,927774,7477107,61.245745544,6453174,0,9021559,0,5214243,0,4877275,149037,480602
1998-04-01,2T1998,Besalco S.A. Ord,45452330,8856834,15126945,14493182,21457175,0.89740134886,1972437,6717594,55.553485759,6270111,0,19484738,0,3517644,0,5976394,245980,527549
1998-07-01,3T1998,Besalco S.A. Ord,49347360,10459562,18288026,14408541,29174908,0.38703255525,2854691,4523258,67.776777385,7828464,0,26320217,0,3716830,0,4826972,271221,804514
1998-10-01,4T1998,Besalco S.A. Ord,55395543,17111768,23390318,15232478,43953019,0.78556643199,4510625,3365847,111.3069448,6278550,0,39442394,0,5895491,0,7019958,1499517,1418402
1999-01-01,1T1999,Besalco S.A. Ord,55920577,16165020,23070379,15129351,14809360,0.7568687831,1795526,4488366,106.60587126,6905359,0,13013834,0,6231141,0,7452158,1416155,807663
1999-04-01,2T1999,Besalco S.A. Ord,61286472,19465043,29824261,15408958,31208598,1.0306347197,3434412,5276799,123.13173851,10359218,0,27774186,0,8750635,0,8523084,3151682,1500539
1999-07-01,3T1999,Besalco S.A. Ord,63583020,16980052,33298182,19374735,50386388,1.0098568918,6743173,6992669,119.22450564,16318130,0,43643215,0,9298244,0,10907097,619244,2400812
1999-10-01,4T1999,Besalco S.A. Ord,74625575,25717566,41370992,20329857,95126591,1.1854635455,10571405,9409607,92.584418182,15653426,0,84555186,0,7090612,0,16487449,6870958,4273557
2000-01-01,1T2000,Besalco S.A. Ord,80505698,29168162,46527156,21564786,24755330,1.4910451198,2209618,9638733,89.857977013,17358994,0,22545712,0,9511941,0,15604144,5170014,405365
2000-04-01,2T2000,Besalco S.A. Ord,77849271,26436451,42003791,22143668,43166940,0.9277299201,3673662,9271975,93.971185485,15567340,0,39493278,0,9852828,0,16993291,2615135,503131
